,TW,global,Thailand,Japan,Hong Kong,"Korea, South",Philippines,US,Canada,Australia,Austria,Vietnam,Germany,Netherlands,France,Malaysia,Macau,Cambodia,Russia,United Arab Emirates,United Kingdom,Turkey,Singapore,Indonesia,TPE entry
2020-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4266
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.485525
2020-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64385
2020-01-23,0.0,0.0005975879178588243,0.005319148936170213,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0007012622720897616,0.0,1.67095
2020-01-24,0.1,0.0017324013376311374,0.010638297872340425,0.0,0.0,0.0011750881316098707,0.0,2.7633469658450315e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.449067004357705e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001402524544179523,0.0,1.4526
2020-01-25,0.0,0.002975867106105055,0.010638297872340425,0.0,0.0375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.724533502178852e-05,0.01276595744680851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.227875
2020-01-26,0.05,0.0041287892506609684,0.005319148936170213,0.0017226528854435831,0.0375,0.0011750881316098707,0.0,8.290040897535095e-05,0.0003599712023038157,0.008048289738430584,0.0,0.0,0.0,0.0,0.0,0.00425531914893617,0.5,0.0,0.0,0.0,0.0,0.0,0.0007012622720897616,0.0,1.31275
2020-01-27,0.05,0.004883319449977666,0.0,0.0,0.0,0.0011750881316098707,0.0,0.0,0.0,0.002012072434607646,0.0,0.0,0.00014423770373575654,0.0,0.0,0.0,0.16666666666666666,0.03225806451612903,0.0,0.0,0.0,0.0,0.0007012622720897616,0.0,1.5255
2020-01-28,0.15,0.01600207646710852,0.031914893617021274,0.002583979328165375,0.0,0.0,0.0,0.0,0.0003599712023038157,0.0,0.0,0.0,0.00043271311120726956,0.0,3.724533502178852e-05,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.001402524544179523,0.0,1.65105
2020-01-29,0.0,0.0035493100575857447,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.002012072434607646,0.0,0.0,0.0,0.0,3.724533502178852e-05,0.01276595744680851,0.0,0.0,0.0,0.007054673721340388,0.0,0.0,0.0,0.0,1.716575
